text,sentiment_compound,sentiment_label,distortion_always_negative,distortion_expecting_worst,distortion_blaming_yourself,distortion_assuming_others,distortion_all_or_nothing,consecutive_negative_days,risk_level
"Nothing matters anymore, it's all ruined.",-0.346,Negative,1,0,0,1,0,3,Medium
Things are getting better step by step.,0.824,Positive,0,0,0,0,0,1,Low
They probably think I'm stupid.,-0.931,Negative,1,0,0,0,0,3,Medium
Things are getting better step by step.,0.821,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.014,Neutral,0,0,0,0,0,0,Low
"I will never succeed, this always happens.",-0.978,Negative,1,1,0,0,0,6,High
"I will never succeed, this always happens.",-0.699,Negative,1,1,0,1,0,2,Medium
I had a good time with my friends.,0.668,Positive,0,0,0,0,0,1,Low
Things are getting better step by step.,0.913,Positive,0,0,0,0,0,1,Low
"If it's not perfect, it's a total failure.",-0.592,Negative,1,0,1,0,1,7,High
"I feel great today, everything went well.",0.272,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.004,Neutral,0,0,0,0,0,3,Medium
"I feel great today, everything went well.",0.922,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.045,Neutral,0,0,0,0,0,1,Low
I am so stressed and tired of this.,-0.101,Negative,0,0,0,0,0,2,Medium
"If it's not perfect, it's a total failure.",-0.777,Negative,1,1,0,1,0,5,High
"I feel great today, everything went well.",0.391,Positive,0,0,0,0,0,1,Low
"I feel great today, everything went well.",0.815,Positive,0,0,0,0,0,0,Low
"Nothing matters anymore, it's all ruined.",-0.323,Negative,1,0,1,0,0,3,Medium
"I guess today was okay, just normal.",-0.098,Neutral,0,0,0,0,0,7,Medium
It's my fault they are mad at me.,-0.897,Negative,0,1,0,1,0,5,High
"I feel great today, everything went well.",0.736,Positive,0,0,0,0,0,1,Low
Things are getting better step by step.,0.946,Positive,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.713,Positive,0,0,0,0,0,1,Low
It's my fault they are mad at me.,-0.605,Negative,1,0,0,0,1,6,High
"I feel great today, everything went well.",0.929,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.025,Neutral,0,0,0,0,0,2,Medium
"Nothing matters anymore, it's all ruined.",-0.242,Negative,0,0,0,0,0,1,Medium
"I guess today was okay, just normal.",-0.08,Neutral,0,0,0,0,0,5,Medium
"I will never succeed, this always happens.",-0.443,Negative,0,1,1,0,0,5,Medium
I am so stressed and tired of this.,-0.812,Negative,1,0,0,0,0,6,Medium
They probably think I'm stupid.,-0.208,Negative,0,0,0,0,0,7,Medium
"I will never succeed, this always happens.",-0.801,Negative,0,0,0,0,0,7,Medium
They probably think I'm stupid.,-0.484,Negative,0,0,0,0,0,3,Medium
"I guess today was okay, just normal.",0.065,Neutral,0,0,0,0,0,0,Low
Things are getting better step by step.,0.491,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.022,Neutral,0,0,0,0,0,1,Low
I had a good time with my friends.,0.71,Positive,0,0,0,0,0,0,Low
I had a good time with my friends.,0.884,Positive,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.501,Positive,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.356,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.003,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.01,Neutral,0,0,0,0,0,4,Medium
"I guess today was okay, just normal.",0.027,Neutral,0,0,0,0,0,0,Low
It's my fault they are mad at me.,-0.771,Negative,0,0,1,0,0,7,Medium
"If it's not perfect, it's a total failure.",-0.43,Negative,1,1,0,0,0,3,Medium
"I feel great today, everything went well.",0.538,Positive,0,0,0,0,0,2,Medium
"If it's not perfect, it's a total failure.",-0.763,Negative,0,1,0,0,1,6,High
It's my fault they are mad at me.,-0.611,Negative,0,0,0,0,0,5,Medium
"I will never succeed, this always happens.",-0.574,Negative,0,1,0,0,0,3,Medium
"I guess today was okay, just normal.",0.053,Neutral,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.043,Neutral,0,0,0,0,0,7,Medium
"Nothing matters anymore, it's all ruined.",-0.119,Negative,0,0,0,0,0,6,Medium
"I guess today was okay, just normal.",0.014,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.071,Neutral,0,0,0,0,0,5,Medium
They probably think I'm stupid.,-0.343,Negative,1,0,0,0,0,1,Medium
"I feel great today, everything went well.",0.561,Positive,0,0,0,0,0,1,Low
"I feel great today, everything went well.",0.348,Positive,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.603,Positive,0,0,0,0,0,0,Low
I had a good time with my friends.,0.869,Positive,0,0,0,0,0,0,Low
I had a good time with my friends.,0.132,Positive,0,0,0,0,0,2,Medium
I am so stressed and tired of this.,-0.758,Negative,0,0,0,1,1,6,High
"I guess today was okay, just normal.",-0.077,Neutral,0,0,0,0,0,2,Medium
"Nothing matters anymore, it's all ruined.",-0.881,Negative,0,0,0,0,0,5,Medium
"I guess today was okay, just normal.",-0.011,Neutral,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.033,Neutral,0,0,0,0,0,2,Medium
I am so stressed and tired of this.,-0.727,Negative,0,1,0,0,0,1,Medium
"I guess today was okay, just normal.",-0.049,Neutral,0,0,0,0,0,5,Medium
"I guess today was okay, just normal.",-0.034,Neutral,0,0,0,0,0,4,Medium
Things are getting better step by step.,0.155,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.014,Neutral,0,0,0,0,0,3,Medium
They probably think I'm stupid.,-0.931,Negative,0,0,0,1,0,7,Medium
"I guess today was okay, just normal.",-0.046,Neutral,0,0,0,0,0,1,Low
I am so stressed and tired of this.,-0.82,Negative,1,0,0,1,0,4,High
"I guess today was okay, just normal.",-0.003,Neutral,0,0,0,0,0,7,Medium
"I feel great today, everything went well.",0.397,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.0,Neutral,0,0,0,0,0,0,Low
I had a good time with my friends.,0.513,Positive,0,0,0,0,0,0,Low
It's my fault they are mad at me.,-0.572,Negative,1,0,0,1,0,3,High
It's my fault they are mad at me.,-0.542,Negative,0,1,0,0,0,2,Medium
"I guess today was okay, just normal.",0.091,Neutral,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.467,Positive,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.289,Positive,0,0,0,0,0,1,Low
They probably think I'm stupid.,-0.178,Negative,0,0,0,0,0,4,Medium
"I feel great today, everything went well.",0.783,Positive,0,0,0,0,0,2,Medium
"Nothing matters anymore, it's all ruined.",-0.387,Negative,0,0,0,0,0,4,Medium
"I feel great today, everything went well.",0.328,Positive,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.652,Positive,0,0,0,0,0,1,Low
Things are getting better step by step.,0.259,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.031,Neutral,0,0,0,0,0,1,Low
"I feel great today, everything went well.",0.261,Positive,0,0,0,0,0,2,Medium
They probably think I'm stupid.,-0.309,Negative,0,0,0,0,0,3,Medium
I had a good time with my friends.,0.477,Positive,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.154,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.085,Neutral,0,0,0,0,0,3,Medium
"I guess today was okay, just normal.",0.084,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",0.084,Neutral,0,0,0,0,0,1,Low
"Nothing matters anymore, it's all ruined.",-0.767,Negative,1,1,0,0,1,4,High
"I feel great today, everything went well.",0.303,Positive,0,0,0,0,0,1,Low
"I feel great today, everything went well.",0.45,Positive,0,0,0,0,0,0,Low
"I will never succeed, this always happens.",-0.44,Negative,1,0,0,0,0,5,Medium
"Nothing matters anymore, it's all ruined.",-0.253,Negative,0,0,0,1,0,3,Medium
I am so stressed and tired of this.,-0.381,Negative,0,0,0,0,0,4,Medium
"If it's not perfect, it's a total failure.",-0.463,Negative,0,0,0,1,0,4,Medium
"I will never succeed, this always happens.",-0.102,Negative,0,0,0,0,0,1,Low
"I feel great today, everything went well.",0.599,Positive,0,0,0,0,0,1,Low
Things are getting better step by step.,0.174,Positive,0,0,0,0,0,2,Medium
It's my fault they are mad at me.,-0.46,Negative,0,0,1,0,0,6,Medium
I had a good time with my friends.,0.208,Positive,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.885,Positive,0,0,0,0,0,0,Low
"I will never succeed, this always happens.",-0.299,Negative,0,0,0,1,0,7,Medium
They probably think I'm stupid.,-0.173,Negative,0,0,0,0,0,4,Medium
Things are getting better step by step.,0.724,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.021,Neutral,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.789,Positive,0,0,0,0,0,1,Low
"I feel great today, everything went well.",0.828,Positive,0,0,0,0,0,1,Low
"Nothing matters anymore, it's all ruined.",-0.932,Negative,1,0,0,0,1,1,Medium
"I guess today was okay, just normal.",0.092,Neutral,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.838,Positive,0,0,0,0,0,2,Medium
"I will never succeed, this always happens.",-0.313,Negative,1,0,0,0,0,4,Medium
I had a good time with my friends.,0.117,Positive,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.55,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.053,Neutral,0,0,0,0,0,2,Medium
They probably think I'm stupid.,-0.34,Negative,1,0,0,0,0,2,Medium
Things are getting better step by step.,0.752,Positive,0,0,0,0,0,1,Low
It's my fault they are mad at me.,-0.804,Negative,1,1,0,0,0,6,High
"If it's not perfect, it's a total failure.",-0.342,Negative,0,0,0,0,0,3,Medium
"I guess today was okay, just normal.",0.087,Neutral,0,0,0,0,0,2,Medium
They probably think I'm stupid.,-0.803,Negative,1,1,1,0,1,4,High
I am so stressed and tired of this.,-0.542,Negative,0,1,0,0,0,3,Medium
I had a good time with my friends.,0.168,Positive,0,0,0,0,0,1,Low
I am so stressed and tired of this.,-0.25,Negative,0,0,0,0,0,4,Medium
I am so stressed and tired of this.,-0.883,Negative,1,0,0,1,0,2,Medium
"I feel great today, everything went well.",0.432,Positive,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.28,Positive,0,0,0,0,0,1,Low
"I feel great today, everything went well.",0.229,Positive,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.923,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.034,Neutral,0,0,0,0,0,0,Low
It's my fault they are mad at me.,-0.788,Negative,0,0,0,1,0,5,Medium
Things are getting better step by step.,0.151,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.059,Neutral,0,0,0,0,0,5,Medium
"I guess today was okay, just normal.",0.099,Neutral,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.097,Neutral,0,0,0,0,0,4,Medium
They probably think I'm stupid.,-0.561,Negative,1,0,0,1,0,5,High
It's my fault they are mad at me.,-0.524,Negative,1,0,0,0,0,3,Medium
Things are getting better step by step.,0.883,Positive,0,0,0,0,0,0,Low
I am so stressed and tired of this.,-0.852,Negative,0,1,0,1,0,4,High
"I guess today was okay, just normal.",-0.006,Neutral,0,0,0,0,0,1,Low
"I feel great today, everything went well.",0.23,Positive,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.442,Positive,0,0,0,0,0,0,Low
I am so stressed and tired of this.,-0.322,Negative,1,0,0,0,0,5,Medium
"I guess today was okay, just normal.",-0.011,Neutral,0,0,0,0,0,6,Medium
"I feel great today, everything went well.",0.935,Positive,0,0,0,0,0,0,Low
I had a good time with my friends.,0.812,Positive,0,0,0,0,0,0,Low
Things are getting better step by step.,0.541,Positive,0,0,0,0,0,0,Low
"Nothing matters anymore, it's all ruined.",-0.118,Negative,0,0,0,0,0,7,Medium
"I guess today was okay, just normal.",0.029,Neutral,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.919,Positive,0,0,0,0,0,2,Medium
"I feel great today, everything went well.",0.234,Positive,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.514,Positive,0,0,0,0,0,2,Medium
"I will never succeed, this always happens.",-0.121,Negative,0,0,0,0,0,3,Medium
"I guess today was okay, just normal.",0.078,Neutral,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.09,Neutral,0,0,0,0,0,3,Medium
"I guess today was okay, just normal.",0.03,Neutral,0,0,0,0,0,1,Low
Things are getting better step by step.,0.456,Positive,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.777,Positive,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.266,Positive,0,0,0,0,0,0,Low
Things are getting better step by step.,0.273,Positive,0,0,0,0,0,1,Low
I had a good time with my friends.,0.767,Positive,0,0,0,0,0,1,Low
They probably think I'm stupid.,-0.768,Negative,0,0,1,0,1,6,High
I am so stressed and tired of this.,-0.493,Negative,1,0,1,0,0,5,Medium
I had a good time with my friends.,0.533,Positive,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.185,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.095,Neutral,0,0,0,0,0,4,Medium
I had a good time with my friends.,0.161,Positive,0,0,0,0,0,1,Low
"I will never succeed, this always happens.",-0.104,Negative,0,0,0,0,0,6,Medium
"I feel great today, everything went well.",0.859,Positive,0,0,0,0,0,2,Medium
I am so stressed and tired of this.,-0.703,Negative,1,0,1,0,1,2,Medium
"I guess today was okay, just normal.",0.054,Neutral,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.048,Neutral,0,0,0,0,0,5,Medium
"I will never succeed, this always happens.",-0.346,Negative,0,0,1,0,0,2,Medium
They probably think I'm stupid.,-0.13,Negative,0,0,0,0,0,6,Medium
I had a good time with my friends.,0.66,Positive,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.277,Positive,0,0,0,0,0,2,Medium
"I will never succeed, this always happens.",-0.376,Negative,0,0,0,0,0,4,Medium
"I feel great today, everything went well.",0.134,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.055,Neutral,0,0,0,0,0,6,Medium
"I guess today was okay, just normal.",-0.048,Neutral,0,0,0,0,0,7,Medium
"I guess today was okay, just normal.",0.009,Neutral,0,0,0,0,0,0,Low
"I feel great today, everything went well.",0.308,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",0.001,Neutral,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.451,Positive,0,0,0,0,0,1,Low
I had a good time with my friends.,0.925,Positive,0,0,0,0,0,2,Medium
"I guess today was okay, just normal.",-0.078,Neutral,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.178,Positive,0,0,0,0,0,0,Low
I am so stressed and tired of this.,-0.854,Negative,1,1,0,0,0,1,Medium
"I guess today was okay, just normal.",0.019,Neutral,0,0,0,0,0,2,Medium
I had a good time with my friends.,0.359,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",0.052,Neutral,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.1,Neutral,0,0,0,0,0,3,Medium
"I guess today was okay, just normal.",0.025,Neutral,0,0,0,0,0,2,Medium
Things are getting better step by step.,0.169,Positive,0,0,0,0,0,1,Low
"I guess today was okay, just normal.",-0.094,Neutral,0,0,0,0,0,1,Low
"I feel great today, everything went well.",0.224,Positive,0,0,0,0,0,1,Low
"Nothing matters anymore, it's all ruined.",-0.988,Negative,1,0,0,0,0,6,Medium
"I guess today was okay, just normal.",0.064,Neutral,0,0,0,0,0,1,Low
"Nothing matters anymore, it's all ruined.",-0.676,Negative,1,0,0,0,0,4,Medium
"I feel great today, everything went well.",0.417,Positive,0,0,0,0,0,0,Low
"I guess today was okay, just normal.",-0.081,Neutral,0,0,0,0,0,3,Medium
"Nothing matters anymore, it's all ruined.",-0.992,Negative,0,0,1,0,1,4,High
I had a good time with my friends.,0.214,Positive,0,0,0,0,0,2,Medium
"If it's not perfect, it's a total failure.",-0.855,Negative,0,1,1,0,1,6,High
"I guess today was okay, just normal.",-0.098,Neutral,0,0,0,0,0,4,Medium
"I guess today was okay, just normal.",0.046,Neutral,0,0,0,0,0,1,Low
They probably think I'm stupid.,-0.582,Negative,0,0,1,0,0,3,Medium
It's my fault they are mad at me.,-0.759,Negative,0,1,0,1,1,3,High
I had a good time with my friends.,0.33,Positive,0,0,0,0,0,1,Low
